track_id,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key,mode,artist_id1,artist_id2,artist_id3,released_month,released_day,song_name,artist_name1,artist_name2,artist_name3
003vvx7Niy0yvhvHt4a68B,2003,51979,15,1806617704,306,99,"5,063",2,120,148.0,35.0,24.0,93.0,0.0,0.0,10.0,8.0,C#,Major,0C0XlULifJtAgn6ZNCW2eu,,,9,23,Mr. Brightside,The Killers,,
00Blm7zeNqgYLPtW6zg8cj,2021,4771,0,539595276,68,18,75,0,1,97.0,68.0,72.0,78.0,4.0,0.0,7.0,5.0,C#,Major,246dkjvS1zLTtiykXe5h60,1Xyo4u8uXC1ZmMpatF05PJ,,11,5,One Right Now (with The Weeknd),Post Malone,The Weeknd,
02VBYrHfVwfEWXk5DXyf0T,2021,14417,0,1115880852,237,123,569,0,10,148.0,59.0,72.0,62.0,18.0,0.0,9.0,3.0,F,Major,0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,6PvvGcCY2XtUcSRld1Wilr,3,5,Leave The Door Open,Bruno Mars,Anderson .Paak,Silk Sonic
03fs6oV5JAlbytRYf3371S,2023,579,0,95623148,11,54,0,0,103,104.0,56.0,72.0,85.0,0.0,0.0,15.0,3.0,G#,Major,4oUHIQIBe0LHzYfvXNW4QM,,,1,31,Everything I Love,Morgan Wallen,,
04ndZkbKGthTgYSv3xS7en,2023,1240,24,217672943,51,29,63,4,54,120.0,91.0,63.0,58.0,52.0,0.0,31.0,22.0,A,Major,7vXDAI8JwjW531ouMGbfcp,,,2,14,Cupido,TINI,,
04sN26COy28wTXYj3dMoiZ,2017,4204,0,777765388,39,45,250,0,0,120.0,60.0,11.0,33.0,90.0,0.0,8.0,5.0,G,Major,6qqNVTkY8uBg9cP3Jd7DAH,,,3,30,Bored,Billie Eilish,,
05bfbizlM5AX6Mf1RRyMho,2021,6556,0,528544703,93,5,67,1,0,172.0,74.0,79.0,66.0,11.0,0.0,8.0,16.0,F#,Minor,5hdhHgpxyniooUiQVaPxQ0,1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X,6,24,AM Remix,Nio Garcia,J Balvin,Bad Bunny
06JvOZ39sK8D8SqiqfaxDU,2022,2129,0,194902696,23,1,44,1,0,84.0,71.0,39.0,86.0,2.0,0.0,51.0,25.0,F,Minor,5K4W6rqBFWDnAN6FQUkS6x,15UsOTVnJzReFVN1VCnxy4,,5,27,True Love,Kanye West,XXXTENTACION,
07MDkzWARZaLEdKxo6yArG,2020,6734,0,530511203,47,14,90,0,1,95.0,77.0,40.0,47.0,2.0,0.0,9.0,3.0,D,Major,64H8UqGLbJFHwKtGxiV8OP,3rWZHrfrsPBxVy692yAIxF,1xoxekeb8jUVHKJB7m6bfg,3,13,Meet Me At Our Spot,THE ANXIETY,WILLOW,Tyler Cole
09gysnJpfQ3ublBmJDfcEC,2021,3643,0,354065229,69,3,70,0,3,110.0,86.0,31.0,53.0,43.0,0.0,11.0,6.0,C#,Minor,21UPYSRWFKwtqvSAnFnSvS,1U1el3k54VvEUzo3ybLPlM,2hVWBpjLW4Q7fboYz2pVYK,9,16,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,Kali Uchis,Moliy
